numepochs,batchsize,learningrate,momentum,weightdecay,cputime,realtime,acc
20,50,1.0E-5,0.0,1.0E-5,1.03841325E11,4.05275705E11,0.8068
20,50,1.0E-5,0.0,1.0E-4,1.0617602E11,4.08626921E11,0.8032
20,50,1.0E-5,0.0,0.001,9.7171907E10,3.91716045E11,0.7844
20,50,1.0E-5,0.5,1.0E-5,9.6969646E10,3.95317969E11,0.8128
20,50,1.0E-5,0.5,1.0E-4,9.8051555E10,3.91977435E11,0.802
20,50,1.0E-5,0.5,0.001,9.6367305E10,3.91862911E11,0.8132
20,50,1.0E-5,0.9,1.0E-5,9.9080233E10,3.94673914E11,0.7884
20,50,1.0E-5,0.9,1.0E-4,1.0235768E11,4.03851018E11,0.7904
20,50,1.0E-5,0.9,0.001,1.02438642E11,4.03136348E11,0.828
20,50,1.0E-5,1.0,1.0E-5,1.02120456E11,4.03003736E11,0.772
20,50,1.0E-5,1.0,1.0E-4,1.05477415E11,4.10551648E11,0.7348
20,50,1.0E-5,1.0,0.001,1.0122983E11,4.01764844E11,0.8304
20,50,1.0E-4,0.0,1.0E-5,9.8176172E10,3.93189818E11,0.7992
20,50,1.0E-4,0.0,1.0E-4,1.04386904E11,4.09750438E11,0.8176
20,50,1.0E-4,0.0,0.001,9.7302348E10,3.91077528E11,0.7916
20,50,1.0E-4,0.5,1.0E-5,1.0499244E11,4.12130017E11,0.8068
20,50,1.0E-4,0.5,1.0E-4,1.03729496E11,4.08767955E11,0.8068
20,50,1.0E-4,0.5,0.001,1.03714111E11,4.08264081E11,0.8068
20,50,1.0E-4,0.9,1.0E-5,1.0518836E11,4.14805131E11,0.8068
20,50,1.0E-4,0.9,1.0E-4,1.03658234E11,4.02055168E11,0.8024
20,50,1.0E-4,0.9,0.001,1.02832914E11,4.00497345E11,0.798
20,50,1.0E-4,1.0,1.0E-5,1.03047274E11,4.02539184E11,0.7888
20,50,1.0E-4,1.0,1.0E-4,1.05344705E11,4.07786652E11,0.8
20,50,1.0E-4,1.0,0.001,1.03620944E11,4.05078114E11,0.7968
20,50,0.001,0.0,1.0E-5,3.27793193E10,2.84398191E11,0.8452
20,50,0.001,0.0,1.0E-4,3.27736013E10,2.84456354E11,0.8452
20,50,0.001,0.0,0.001,3.2627415E10,2.84726723E11,0.8452
20,50,0.001,0.5,1.0E-5,3.28430264E10,2.84445311E11,0.8444
20,50,0.001,0.5,1.0E-4,3.25518418E10,2.84093907E11,0.8432
20,50,0.001,0.5,0.001,3.28629699E10,2.84918219E11,0.8436
20,50,0.001,0.9,1.0E-5,3.27154954E10,2.84478013E11,0.8452
20,50,0.001,0.9,1.0E-4,3.2659968E10,2.84522119E11,0.8452
20,50,0.001,0.9,0.001,3.27413514E10,2.85254124E11,0.8448
20,50,0.001,1.0,1.0E-5,3.26538322E10,2.8459008E11,0.8452
20,50,0.001,1.0,1.0E-4,3.26680904E10,2.84747465E11,0.8444
20,50,0.001,1.0,0.001,3.27345254E10,2.84681372E11,0.8444
20,128,1.0E-5,0.0,1.0E-5,1.38048676E10,2.02869064E11,0.6816
20,128,1.0E-5,0.0,1.0E-4,1.39254671E10,2.03013177E11,0.7276
20,128,1.0E-5,0.0,0.001,1.39010775E10,2.03182227E11,0.642
20,128,1.0E-5,0.5,1.0E-5,1.37998213E10,2.0261426E11,0.6948
20,128,1.0E-5,0.5,1.0E-4,1.39971953E10,2.02972168E11,0.7004
20,128,1.0E-5,0.5,0.001,1.38241116E10,2.02828513E11,0.668
20,128,1.0E-5,0.9,1.0E-5,1.37605919E10,2.02513023E11,0.7028
20,128,1.0E-5,0.9,1.0E-4,1.37589217E10,2.02574447E11,0.714
20,128,1.0E-5,0.9,0.001,1.38197023E10,2.02914742E11,0.7132
20,128,1.0E-5,1.0,1.0E-5,1.37571625E10,2.02740842E11,0.726
20,128,1.0E-5,1.0,1.0E-4,1.3933186E10,2.03333485E11,0.7448
20,128,1.0E-5,1.0,0.001,1.38642555E10,2.02765304E11,0.7608
20,128,1.0E-4,0.0,1.0E-5,1.38434898E10,2.0259591E11,0.7252
20,128,1.0E-4,0.0,1.0E-4,1.38027756E10,2.02384556E11,0.7276
20,128,1.0E-4,0.0,0.001,1.37466726E10,2.0266256E11,0.738
20,128,1.0E-4,0.5,1.0E-5,1.38429788E10,2.02395812E11,0.7316
20,128,1.0E-4,0.5,1.0E-4,1.37872548E10,2.02776936E11,0.736
20,128,1.0E-4,0.5,0.001,1.38591918E10,2.02582589E11,0.75
20,128,1.0E-4,0.9,1.0E-5,2.17599898E10,2.15739515E11,0.7308
20,128,1.0E-4,0.9,1.0E-4,5.0441511E10,2.63614398E11,0.7376
20,128,1.0E-4,0.9,0.001,5.0232152E10,2.63588708E11,0.71
20,128,1.0E-4,1.0,1.0E-5,5.0691097E10,2.64303182E11,0.6796
20,128,1.0E-4,1.0,1.0E-4,5.0953617E10,2.6441882E11,0.7168
20,128,1.0E-4,1.0,0.001,5.0402484E10,2.63845216E11,0.7052
20,128,0.001,0.0,1.0E-5,4.9606205E10,2.62101877E11,0.6968
20,128,0.001,0.0,1.0E-4,5.0220511E10,2.63707197E11,0.7008
20,128,0.001,0.0,0.001,5.080345E10,2.63940735E11,0.7044
20,128,0.001,0.5,1.0E-5,5.0724467E10,2.64218575E11,0.6948
20,128,0.001,0.5,1.0E-4,5.0778628E10,2.64425832E11,0.7104
20,128,0.001,0.5,0.001,5.0661958E10,2.64345108E11,0.692
20,128,0.001,0.9,1.0E-5,5.0482991E10,2.64243118E11,0.6824
20,128,0.001,0.9,1.0E-4,5.0798465E10,2.6417016E11,0.6976
20,128,0.001,0.9,0.001,5.0441191E10,2.63631798E11,0.6876
20,128,0.001,1.0,1.0E-5,5.0361909E10,2.63763902E11,0.6964
20,128,0.001,1.0,1.0E-4,5.0632458E10,2.64008581E11,0.6872
20,128,0.001,1.0,0.001,5.1045237E10,2.64916517E11,0.7012
20,256,1.0E-5,0.0,1.0E-5,3.42856622E10,2.29737169E11,0.702
20,256,1.0E-5,0.0,1.0E-4,3.3825282E10,2.29210063E11,0.7212
20,256,1.0E-5,0.0,0.001,3.36627651E10,2.28933976E11,0.706
20,256,1.0E-5,0.5,1.0E-5,3.36665231E10,2.29109907E11,0.674
20,256,1.0E-5,0.5,1.0E-4,3.39110154E10,2.29215764E11,0.6228
20,256,1.0E-5,0.5,0.001,3.36354611E10,2.28995957E11,0.6932
20,256,1.0E-5,0.9,1.0E-5,3.3721387E10,2.30025576E11,0.7544
20,256,1.0E-5,0.9,1.0E-4,3.3452628E10,2.28861919E11,0.6888
20,256,1.0E-5,0.9,0.001,3.38134385E10,2.29458199E11,0.7116
20,256,1.0E-5,1.0,1.0E-5,3.35696036E10,2.29331878E11,0.6764
20,256,1.0E-5,1.0,1.0E-4,3.37233408E10,2.29216338E11,0.72
20,256,1.0E-5,1.0,0.001,3.38795848E10,2.28945756E11,0.7076
20,256,1.0E-4,0.0,1.0E-5,3.40152914E10,2.29565661E11,0.7112
20,256,1.0E-4,0.0,1.0E-4,3.35447491E10,2.28640752E11,0.726
20,256,1.0E-4,0.0,0.001,3.42128538E10,2.29727617E11,0.69
20,256,1.0E-4,0.5,1.0E-5,3.39285647E10,2.2911302E11,0.7304
20,256,1.0E-4,0.5,1.0E-4,3.41261947E10,2.29744935E11,0.7036
20,256,1.0E-4,0.5,0.001,3.38267464E10,2.2935457E11,0.7516
20,256,1.0E-4,0.9,1.0E-5,3.35601603E10,2.29036245E11,0.7196
20,256,1.0E-4,0.9,1.0E-4,3.37253663E10,2.28857004E11,0.696
20,256,1.0E-4,0.9,0.001,3.41350932E10,2.29793268E11,0.7048
20,256,1.0E-4,1.0,1.0E-5,3.41158973E10,2.2975701E11,0.724
20,256,1.0E-4,1.0,1.0E-4,3.34879724E10,2.28931633E11,0.7344
20,256,1.0E-4,1.0,0.001,3.35488123E10,2.29232476E11,0.7196
20,256,0.001,0.0,1.0E-5,3.36321946E10,2.29219009E11,0.7156
20,256,0.001,0.0,1.0E-4,3.41457142E10,2.29494473E11,0.7104
20,256,0.001,0.0,0.001,3.34934139E10,2.28828381E11,0.7188
20,256,0.001,0.5,1.0E-5,3.36086958E10,2.29149E11,0.712
20,256,0.001,0.5,1.0E-4,3.40255437E10,2.29626462E11,0.696
